Method,Repeat,Seed,Total_Cost,Total_Distance,Route_Count
Improved ACO,1,101,467.407255,455.074202,8
Improved ACO,2,202,469.565079,458.476965,8
Improved ACO,3,303,474.94876,463.403203,8
Improved ACO,4,404,464.233664,452.553171,8
Improved ACO,5,505,465.543407,454.852883,8
Improved3 ACO,1,101,459.301176,448.326045,8
Improved3 ACO,2,202,466.034697,454.922156,8
Improved3 ACO,3,303,459.761213,447.992755,8
Improved3 ACO,4,404,484.753052,470.825019,8
Improved3 ACO,5,505,460.99525,449.866113,8
Improved5 ACO,1,101,463.675505,452.777435,8
Improved5 ACO,2,202,472.543239,459.725188,8
Improved5 ACO,3,303,460.205974,448.45965,8
Improved5 ACO,4,404,467.317716,454.974713,8
Improved5 ACO,5,505,465.428353,453.25711,8
